popularity,vote_average,vote_count,original_title,release_year,release_month,release_day,release_weekday,is_weekend_release,years_since_release,overview_length,title_length,vote_power,rating_power
59.936,8.203,16330,7709.0,2006,10,17,1,0,17,186,12,79.57582991409252,79.57582991409252
79.81,8.203,20926,6333.0,1977,5,25,2,0,46,312,9,81.60996924238421,81.60996924238421
70.112,8.201,24287,6065.0,2010,2,14,6,1,13,219,14,82.81154671528212,82.81154671528212
14.418,8.2,639,9031.0,2018,2,24,5,1,5,998,16,52.98403904610048,52.98403904610048
64.757,8.2,13947,2863.0,2016,10,7,4,0,7,215,13,78.25334954392343,78.25334954392343
18.113,8.2,2382,6682.0,1960,6,21,1,0,63,326,13,63.764146912209675,63.764146912209675
25.1,8.193,311,8379.0,2024,6,14,4,0,-1,153,16,47.05242511772309,47.05242511772309
7.987,8.2,696,4570.0,1983,11,14,0,0,40,972,26,53.68364036823629,53.68364036823629
6.365,8.2,476,4612.0,2019,12,26,3,0,4,217,31,50.5736352252844,50.5736352252844
10.155,8.2,750,1971.0,2013,11,23,5,1,10,293,33,54.2955263444659,54.2955263444659
32.909,8.2,13034,169.0,1971,12,19,6,1,52,426,18,77.69822527621433,77.69822527621433
15.085,8.18,381,9142.0,2019,9,6,4,0,4,991,33,48.633540578401785,48.633540578401785
15.001,8.184,2455,3929.0,1948,7,21,2,0,75,296,19,63.886671543361395,63.886671543361395
18.301,8.2,3046,1898.0,1957,2,16,5,1,66,420,19,65.7796847876828,65.7796847876828
45.24,8.2,26538,1961.0,2012,12,25,1,0,11,126,16,83.5282391512498,83.5282391512498
37.712,8.2,15109,4538.0,2000,10,11,2,0,23,371,7,78.90951885318763,78.90951885318763
26.106,8.175,1090,9271.0,1953,11,3,1,0,70,381,4,57.18289863418536,57.18289863418536
45.429,8.175,10564,8005.0,1995,7,19,2,0,28,409,18,75.74384327816004,75.74384327816004
62.645,8.173,718,63.0,2022,10,6,3,0,1,153,7,53.760860876654114,53.760860876654114
9.687,8.168,802,3362.0,1970,10,16,4,0,53,208,53,54.63048130351714,54.63048130351714
11.278,8.168,494,8559.0,2005,1,28,4,0,18,192,15,50.678827804661054,50.678827804661054
24.517,8.2,2198,5289.0,1966,10,18,1,0,57,224,7,63.10521552254904,63.10521552254904
23.996,8.167,1452,2885.0,2020,7,3,4,0,3,173,8,59.46707671437849,59.46707671437849
29.71,8.2,1180,9156.0,2019,12,20,4,0,4,466,33,58.00775789281837,58.00775789281837
16.185,8.2,2141,7332.0,1921,1,21,4,0,102,150,7,62.88986105826309,62.88986105826309
29.742,8.2,5829,8525.0,1958,5,28,2,0,65,174,7,71.10033269062521,71.10033269062521
54.498,8.2,12050,5881.0,1983,12,9,4,0,40,469,8,77.05460396882461,77.05460396882461
58.825,8.161,15085,397.0,1979,5,25,4,0,44,420,5,78.52124463621519,78.52124463621519
41.004,8.159,15136,6952.0,2006,10,4,2,0,17,319,12,78.52953753382577,78.52953753382577
61.558,8.159,12622,2778.0,1997,12,5,4,0,26,527,17,77.0476874623176,77.0476874623176
35.307,8.158,5543,1366.0,1943,1,15,4,0,80,123,10,70.32580683041532,70.32580683041532
27.486,8.156,1751,8981.0,2018,9,20,3,0,5,225,8,60.91319424232413,60.91319424232413
27.08,8.1,790,6378.0,2019,10,7,0,0,4,160,26,54.053713538918,54.053713538918
11.972,8.1,1646,5329.0,2016,6,16,3,0,7,170,5,59.99435691443888,59.99435691443888
57.393,8.1,18655,7982.0,1998,6,4,3,0,25,442,15,79.65477702211676,79.65477702211676
16.198,8.1,2063,8210.0,2019,12,20,4,0,4,273,4,61.82244912547177,61.82244912547177
25.873,8.1,3193,6101.0,1952,4,9,2,0,71,98,19,65.35913756307716,65.35913756307716
39.232,8.143,1319,1289.0,2023,10,26,3,0,0,329,17,58.510606467871334,58.510606467871334
5.412,8.1,704,490.0,1975,10,24,4,0,48,143,10,53.12140220277938,53.12140220277938
37.157,8.14,1454,9179.0,2021,12,24,4,0,2,425,10,59.28167600198953,59.28167600198953
73.217,8.1,26178,3561.0,2019,10,1,1,0,4,169,5,82.39897401726246,82.39897401726246
14.067,8.136,740,7858.0,1940,1,12,4,0,83,158,26,53.762693087408955,53.762693087408955
17.221,8.1,2315,137.0,1963,2,14,3,0,60,383,2,62.75553439341237,62.75553439341237
9.22,8.135,356,5889.0,1974,9,15,6,1,49,464,23,47.81538058477736,47.81538058477736
19.027,8.137,659,9401.0,2011,9,22,3,0,12,226,3,52.82735553756157,52.82735553756157
40.238,8.134,12469,6569.0,1976,2,9,0,0,47,165,11,76.71241316857498,76.71241316857498
24.394,8.1,1395,1159.0,1993,2,5,4,0,30,567,14,58.655066894910775,58.655066894910775
70.631,8.1,10136,8871.0,2021,3,18,3,0,2,231,28,74.71397374059744,74.71397374059744
14.862,8.1,935,1404.0,1998,4,3,4,0,25,180,17,55.41708535946849,55.41708535946849
